location,region,ex_1960,ex_2012
GUY,Latin America & Caribbean,58.23260976,66.04626829
HIC,,68.13613593,79.29527476
HKG,East Asia & Pacific,66.99970732,83.4804878
HND,Latin America & Caribbean,46.28831707,73.49343902
HPC,,39.56581702,58.24085234
HRV,Europe & Central Asia,64.60865854,76.92439024
HTI,Latin America & Caribbean,42.159,62.70265854
HUN,Europe & Central Asia,68.00317073,75.06341463
IDN,East Asia & Pacific,44.8065122,70.6072439
IMN,Europe & Central Asia,,
IND,South Asia,41.38363415,66.21085366
INX,Europe & Central Asia,,
IRL,Middle East & North Africa,69.6917561,80.89512195
IRN,Middle East & North Africa,44.9455122,73.76273171
IRQ,Europe & Central Asia,48.03068293,69.24192683
ISL,Middle East & North Africa,73.42865854,82.91707317
ISR,Europe & Central Asia,,81.70487805
ITA,Latin America & Caribbean,69.12390244,82.93658537
JAM,Middle East & North Africa,64.19182927,73.2824878
JOR,East Asia & Pacific,52.68526829,73.74739024
JPN,Europe & Central Asia,67.66609756,83.09609756
KAZ,Sub-Saharan Africa,58.36758537,69.61
KEN,Europe & Central Asia,46.36241463,61.08317073
KGZ,East Asia & Pacific,56.12807317,70.00243902
KHM,East Asia & Pacific,41.20129268,71.40882927
KIR,Latin America & Caribbean,46.875,68.53234146
KNA,East Asia & Pacific,,
KOR,Europe & Central Asia,53.00131707,81.36829268
KSV,Middle East & North Africa,,70.49756098
KWT,,60.34795122,74.359
LAC,East Asia & Pacific,55.88314633,74.46199407
LAO,Middle East & North Africa,43.19292683,67.80592683
LBN,Sub-Saharan Africa,63.28012195,79.84636585
LBR,Middle East & North Africa,34.78317073,60.20639024
LBY,Latin America & Caribbean,42.64119512,75.17604878
LCA,,57.3037561,74.67417073
LCN,,56.23930146,74.63865383
LCR,,,
LDC,Europe & Central Asia,40.62259234,61.12517103
LIC,South Asia,41.78704227,61.61872471
LIE,,,82.38292683
LKA,,59.74714634,74.06804878
LMC,Sub-Saharan Africa,45.45047551,66.20902445
LMY,Europe & Central Asia,46.20264275,68.85343044
LSO,Europe & Central Asia,46.51070732,48.836
LTU,Europe & Central Asia,69.84731707,73.86341463
LUX,East Asia & Pacific,68.44639024,81.39268293
LVA,Latin America & Caribbean,69.78682927,73.77804878
MAC,Middle East & North Africa,64.66092683,80.12778049
MAF,Europe & Central Asia,,79.02195122
MAR,Europe & Central Asia,48.44663415,70.64312195
MCA,Sub-Saharan Africa,,
MCO,South Asia,,
MDA,,61.81278049,68.69341463
MDG,Latin America & Caribbean,39.97468293,64.24863415
MDV,East Asia & Pacific,35.85960976,77.57382927
MEA,,46.63465288,72.18730286
MEX,Europe & Central Asia,57.06563415,77.13507317
MHL,Sub-Saharan Africa,,
MIC,Middle East & North Africa,46.74040745,70.07561806
MKD,East Asia & Pacific,60.62280488,75.03126829
MLI,,28.21160976,54.60392683
MLT,Europe & Central Asia,67.60178049,80.74634146
MMR,East Asia & Pacific,42.73639024,64.93246341
MNA,East Asia & Pacific,46.57008377,71.431472
MNE,Sub-Saharan Africa,63.70560976,74.64987805
MNG,Sub-Saharan Africa,48.36880488,67.33943902
MNP,Sub-Saharan Africa,,
MOZ,Sub-Saharan Africa,35.00370732,49.83626829
MRT,East Asia & Pacific,43.48309756,61.35060976
MUS,,58.74521951,73.56634146
MWI,Sub-Saharan Africa,37.83558537,54.72378049
MYS,East Asia & Pacific,59.47534146,74.84229268
NAC,Sub-Saharan Africa,69.89360376,78.99040047
NAM,Sub-Saharan Africa,46.88039024,63.88114634
NCL,Latin America & Caribbean,58.63902439,76.25341463
NER,Europe & Central Asia,35.51504878,57.96617073
NGA,,37.18295122,52.10902439
NIC,Europe & Central Asia,46.99882927,74.46539024
NLD,South Asia,73.39268293,81.10487805
NOC,East Asia & Pacific,65.42873223,73.44282465
NOR,,73.5497561,81.45121951
NPL,,38.45563415,67.98270732
NZL,Middle East & North Africa,71.23658537,81.15609756
OEC,,68.73759312,80.68511914
OED,South Asia,67.33317642,79.95512974
OMN,Latin America & Caribbean,42.66707317,76.59104878
OSS,Latin America & Caribbean,45.49179869,59.5348701
PAK,East Asia & Pacific,46.43373171,66.43587805
PAN,East Asia & Pacific,60.87682927,77.36809756
PER,East Asia & Pacific,47.69158537,74.51553659
PHL,Europe & Central Asia,57.81192683,68.55373171
PLW,Latin America & Caribbean,,
PNG,East Asia & Pacific,38.4622439,62.29892683
POL,Europe & Central Asia,67.6804878,76.79756098
PRI,Latin America & Caribbean,68.71960976,78.53553659
PRK,Middle East & North Africa,51.07717073,69.50063415
PRT,,62.80892683,80.37317073
PRY,East Asia & Pacific,63.79370732,72.19373171
PSS,Middle East & North Africa,53.62091305,69.68339061
PYF,Europe & Central Asia,56.35704878,76.12902439
QAT,Europe & Central Asia,61.24790244,78.45380488
ROU,Sub-Saharan Africa,65.64243902,74.56341463
RUS,,66.05529268,70.46097561
RWA,Middle East & North Africa,42.24929268,63.49285366
SAS,Sub-Saharan Africa,42.38618239,66.64470691
SAU,Sub-Saharan Africa,45.66626829,75.49690244
SCE,East Asia & Pacific,,
SDN,East Asia & Pacific,48.18763415,61.86395122
SEN,Sub-Saharan Africa,38.206,63.20217073
SGP,Latin America & Caribbean,65.65982927,82.14390244
SLB,Europe & Central Asia,49.38170732,67.50707317
SLE,Sub-Saharan Africa,30.33153659,45.32904878
